sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
116,12030,800,620,360,618,115,364.0,10027,ai
117,12115,800,618,364,620,85,360.0,13634,ai
118,12239,800,620,360,618,124,364.0,10916,ai
119,12324,800,618,364,620,85,360.0,12932,ai
120,12450,800,620,360,618,126,364.0,10852,ai
121,12535,800,618,364,620,85,360.0,12444,ai
122,12655,800,620,360,468,120,364.0,10664,ai
123,12765,800,468,664,495,110,360.0,14148,ai
124,12875,800,495,610,491,110,664.0,9878,ai
125,12981,800,491,618,492,106,610.0,11189,ai
126,13067,800,492,616,491,86,618.0,9560,ai
127,13186,800,491,618,492,119,616.0,9386,ai
128,13295,800,492,616,491,109,618.0,16130,ai
129,13405,800,491,618,492,110,616.0,10896,ai
130,13515,800,492,616,491,110,618.0,9719,ai
131,13596,800,491,618,492,81,616.0,10908,ai
132,13718,800,492,616,491,122,618.0,9190,ai
133,13806,800,491,618,492,88,616.0,9600,ai
134,13931,800,492,616,491,125,618.0,10923,ai
135,14015,800,491,618,492,84,616.0,12946,ai
136,14131,800,492,616,491,116,618.0,9675,ai
137,14215,800,491,618,492,84,616.0,13147,ai
138,14339,800,492,616,491,124,618.0,10475,ai
139,14424,800,491,618,492,85,616.0,12662,ai
140,14543,800,492,616,491,119,618.0,8910,ai
141,14628,800,491,618,492,85,616.0,9687,ai
142,14750,800,492,616,491,122,618.0,10737,ai
143,14851,800,491,618,492,101,616.0,10134,ai
144,14955,800,492,616,491,104,618.0,10196,ai
145,15052,800,491,618,492,97,616.0,9198,ai
146,15146,500,492,17,282,94,618.0,10320,ai
147,15270,500,282,436,311,124,17.0,10918,ai
148,15355,500,311,378,308,85,436.0,13305,ai
149,15475,500,308,384,308,120,378.0,10571,ai
150,15566,500,308,384,308,91,384.0,10475,ai
151,15682,500,308,384,308,116,384.0,10844,ai
152,15766,500,308,384,308,84,384.0,10629,ai
153,15890,500,308,384,308,124,384.0,9899,ai
154,15976,500,308,384,308,86,384.0,12334,ai
155,16101,500,308,384,308,125,384.0,9459,ai
156,16186,500,308,384,308,85,384.0,12888,ai
157,16311,500,308,384,308,125,384.0,11357,ai
158,16415,500,308,384,308,104,384.0,14360,ai
159,16506,500,308,384,308,91,384.0,10712,ai
160,16618,500,308,384,308,112,384.0,11537,ai
161,16706,500,308,384,308,88,384.0,12976,ai
162,16830,500,308,384,308,124,384.0,11777,ai
163,16915,500,308,384,308,85,384.0,10380,ai
164,17042,500,308,384,308,127,384.0,10489,ai
165,17128,500,308,384,308,86,384.0,13527,ai
166,17250,500,308,384,308,122,384.0,11256,ai
167,17335,500,308,384,308,85,384.0,13058,ai
168,17452,500,308,384,308,117,384.0,11008,ai
169,17535,500,308,384,308,83,384.0,14585,ai
170,17662,500,308,384,308,127,384.0,9498,ai
171,17763,500,308,384,308,101,384.0,14362,ai
172,17847,500,308,384,308,84,384.0,10798,ai
173,17968,500,308,384,308,121,384.0,10389,ai
174,18072,500,308,384,308,104,384.0,12643,ai
175,18155,500,308,384,308,83,384.0,9562,ai
176,18265,500,308,384,308,110,384.0,9512,ai
177,18375,500,308,384,308,110,384.0,13218,ai
178,18486,500,308,384,308,111,384.0,11497,ai
179,18595,500,308,384,308,109,384.0,11611,ai
180,18701,500,308,384,308,106,384.0,11478,ai
181,18786,500,308,384,308,85,384.0,11177,ai
182,18902,500,308,384,308,116,384.0,9748,ai
183,18986,500,308,384,308,84,384.0,10097,ai
184,19108,500,308,384,308,122,384.0,10579,ai
185,19210,500,308,384,308,102,384.0,11541,ai
186,19295,500,308,384,308,85,384.0,9662,ai
187,19411,500,308,384,308,116,384.0,10627,ai
188,19495,500,308,384,308,84,384.0,13182,ai
189,19621,500,308,384,308,126,384.0,11035,ai
190,19724,500,308,384,308,103,384.0,13386,ai
191,19815,500,308,384,308,91,384.0,9372,ai
192,19930,500,308,384,308,115,384.0,10848,ai
193,20015,500,308,384,308,85,384.0,14466,ai
194,20138,500,308,384,308,123,384.0,10731,ai
195,20226,500,308,384,308,88,384.0,12974,ai
196,20347,500,308,384,308,121,384.0,9847,ai
197,20434,500,308,384,308,87,384.0,13434,ai
198,20550,500,308,384,308,116,384.0,9328,ai
199,20636,500,308,384,308,86,384.0,12910,ai
200,20758,500,308,384,308,122,384.0,10667,ai
201,20846,500,308,384,308,88,384.0,13792,ai
202,20971,500,308,384,308,125,384.0,10807,ai
203,21073,500,308,384,308,102,384.0,13773,ai
204,21175,500,308,384,308,102,384.0,9842,ai
205,21276,500,308,384,308,101,384.0,9521,ai
206,21395,500,308,384,308,119,384.0,11010,ai
207,21495,500,308,384,308,100,384.0,10609,ai
208,21595,500,308,384,308,100,384.0,9370,ai
209,21695,500,308,384,308,100,384.0,10348,ai
210,21805,500,308,384,308,110,384.0,9413,ai
211,21912,500,308,384,308,107,384.0,9399,ai
212,21995,500,308,384,308,83,384.0,9801,ai
213,22115,500,308,384,308,120,384.0,9272,ai
214,22214,500,308,384,308,99,384.0,13470,ai
215,22306,500,308,384,308,92,384.0,10712,ai
216,22422,500,308,384,308,116,384.0,9565,ai
217,22506,500,308,384,308,84,384.0,14230,ai
218,22622,500,308,384,308,116,384.0,9633,ai
219,22707,500,308,384,308,85,384.0,8482,ai
220,22827,500,308,384,308,120,384.0,9196,ai
221,22932,500,308,384,308,105,384.0,13869,ai
222,23032,500,308,384,308,100,384.0,9772,ai
223,23116,500,308,384,308,84,384.0,9595,ai
224,23236,500,308,384,308,120,384.0,9136,ai
225,23326,500,308,384,308,90,384.0,12363,ai
226,23435,500,308,384,308,109,384.0,10880,ai
227,23545,500,308,384,308,110,384.0,13209,ai
228,23645,500,308,384,308,100,384.0,10669,ai
229,23746,500,308,384,308,101,384.0,10167,ai
230,23860,500,308,384,308,114,384.0,10541,ai
231,23947,500,308,384,308,87,384.0,8624,ai
232,24069,500,308,384,308,122,384.0,9888,ai
233,24155,500,308,384,308,86,384.0,13368,ai
234,24270,500,308,384,308,115,384.0,9225,ai
235,24355,500,308,384,308,85,384.0,11978,ai
236,24476,500,308,384,308,121,384.0,9552,ai
237,24565,500,308,384,308,89,384.0,13910,ai
238,24680,500,308,384,308,115,384.0,9718,ai
239,24766,500,308,384,308,86,384.0,12031,ai
240,24882,500,308,384,308,116,384.0,8802,ai
241,24966,500,308,384,308,84,384.0,12587,ai
242,25090,500,308,384,308,124,384.0,9527,ai
243,25175,500,308,384,308,85,384.0,12900,ai
244,25302,500,308,384,308,127,384.0,11063,ai
245,25395,500,308,384,308,93,384.0,13817,ai
246,25510,500,308,384,308,115,384.0,10088,ai
247,25595,500,308,384,308,85,384.0,14246,ai
248,25720,500,308,384,308,125,384.0,9871,ai
249,25806,500,308,384,308,86,384.0,13024,ai
250,25928,500,308,384,308,122,384.0,8884,ai
251,26031,500,308,384,308,103,384.0,13756,ai
252,26139,500,308,384,308,108,384.0,9527,ai
253,26226,500,308,384,308,87,384.0,11529,ai
254,26350,500,308,384,308,124,384.0,11101,ai
255,26435,500,308,384,308,85,384.0,12880,ai
256,26562,500,308,384,308,127,384.0,9292,ai
257,26647,500,308,384,308,85,384.0,13709,ai
258,26771,500,308,384,308,124,384.0,9125,ai
259,26855,500,308,384,308,84,384.0,12429,ai
260,26980,500,308,384,308,125,384.0,10034,ai
261,27066,500,308,384,308,86,384.0,13956,ai
262,27188,500,308,384,308,122,384.0,9677,ai
263,27290,500,308,384,308,102,384.0,13555,ai
264,27375,500,308,384,308,85,384.0,9537,ai
265,27496,500,308,384,308,121,384.0,10449,ai
266,27582,500,308,384,308,86,384.0,13926,ai
267,27703,500,308,384,308,121,384.0,9617,ai
268,27795,500,308,384,308,92,384.0,13084,ai
269,27938,500,308,384,308,143,384.0,10912,ai
270,28085,500,308,384,308,147,384.0,26737,ai
271,28199,500,308,384,308,114,384.0,19283,ai
272,28303,500,308,384,308,104,384.0,9910,ai
273,28385,500,308,384,308,82,384.0,10863,ai
274,28501,500,308,384,308,116,384.0,9217,ai
275,28586,500,308,384,308,85,384.0,8023,ai
276,28703,500,308,384,308,117,384.0,8883,ai
277,28786,500,308,384,308,83,384.0,9485,ai
278,28910,500,308,384,308,124,384.0,9666,ai
279,28995,500,308,384,308,85,384.0,12537,ai
280,29119,500,308,384,308,124,384.0,9650,ai
281,29224,500,308,384,308,105,384.0,13296,ai
282,29332,500,308,384,308,108,384.0,10886,ai
283,29416,500,308,384,308,84,384.0,9334,ai
284,29542,500,308,384,308,126,384.0,9717,ai
285,29626,500,308,384,308,84,384.0,13807,ai
286,29749,500,308,384,308,123,384.0,9752,ai
287,29835,500,308,384,308,86,384.0,13367,ai
288,29950,500,308,384,308,115,384.0,8987,ai
289,30035,500,308,384,308,85,384.0,9463,ai
290,30160,500,308,384,308,125,384.0,9356,ai
291,30246,500,308,384,308,86,384.0,12415,ai
292,30371,500,308,384,308,125,384.0,11183,ai
293,30469,500,308,384,308,98,384.0,12408,ai
294,30578,500,308,384,308,109,384.0,10301,ai
295,30675,500,308,384,308,97,384.0,13181,ai
296,30779,500,308,384,308,104,384.0,9064,ai
297,30875,500,308,384,308,96,384.0,9077,ai
298,30992,500,308,384,308,117,384.0,8890,ai
299,31089,500,308,384,308,97,384.0,14115,ai
300,31193,500,308,384,308,104,384.0,9427,ai
301,31275,500,308,384,308,82,384.0,10888,ai
302,31400,500,308,384,308,125,384.0,9165,ai
303,31486,500,308,384,308,86,384.0,12228,ai
304,31610,500,308,384,308,124,384.0,9281,ai
305,31696,500,308,384,308,86,384.0,14538,ai
306,31815,500,308,384,308,119,384.0,10390,ai
307,31924,500,308,384,308,109,384.0,12335,ai
308,32035,500,308,384,308,111,384.0,10991,ai
309,32135,500,308,384,308,100,384.0,9275,ai
310,32244,500,308,384,308,109,384.0,10221,ai
311,32335,500,308,384,308,91,384.0,10638,ai
312,32462,500,308,384,308,127,384.0,10860,ai
313,32560,500,308,384,308,98,384.0,12808,ai
314,32670,500,308,384,308,110,384.0,9080,ai
315,32755,500,308,384,308,85,384.0,12793,ai
316,32869,500,308,384,308,114,384.0,9518,ai
317,32955,500,308,384,308,86,384.0,11648,ai
318,33070,500,308,384,308,115,384.0,9063,ai
319,33172,500,308,384,308,102,384.0,12992,ai
320,33256,500,308,384,308,84,384.0,10237,ai
321,33380,500,308,384,308,124,384.0,9372,ai
322,33466,500,308,384,308,86,384.0,13297,ai
323,33582,500,308,384,308,116,384.0,8944,ai
324,33666,500,308,384,308,84,384.0,14285,ai
325,33778,500,308,384,308,112,384.0,9017,ai
326,33866,500,308,384,308,88,384.0,9142,ai
327,33980,500,308,384,308,114,384.0,11176,ai
328,34066,500,308,384,308,86,384.0,8513,ai
329,34184,500,308,384,308,118,384.0,9752,ai
330,34286,500,308,384,308,102,384.0,14235,ai
331,34391,500,308,384,308,105,384.0,10704,ai
332,34475,500,308,384,308,84,384.0,9905,ai
333,34588,500,308,384,308,113,384.0,9545,ai
334,34675,500,308,384,308,87,384.0,9101,ai
335,34790,500,308,384,308,115,384.0,10351,ai
336,34891,500,308,384,308,101,384.0,14450,ai
337,34976,500,308,384,308,85,384.0,11805,ai
338,35110,500,308,384,308,134,384.0,11377,ai
339,35195,500,308,384,308,85,384.0,12815,ai
340,35311,500,308,384,308,116,384.0,9429,ai
341,35395,500,308,384,308,84,384.0,9191,ai
342,35518,500,308,384,308,123,384.0,11819,ai
343,35605,500,308,384,308,87,384.0,12822,ai
344,35721,500,308,384,308,116,384.0,9214,ai
345,35804,500,308,384,308,83,384.0,9163,ai
346,35930,500,308,384,308,126,384.0,9064,ai
347,36014,500,308,384,308,84,384.0,9577,ai
348,36130,500,308,384,308,116,384.0,9270,ai
349,36215,500,308,384,308,85,384.0,9100,ai
350,36330,500,308,384,308,115,384.0,9260,ai
351,36415,500,308,384,308,85,384.0,9542,ai
352,36538,500,308,384,308,123,384.0,10677,ai
353,36634,500,308,384,308,96,384.0,13911,ai
354,36736,500,308,384,308,102,384.0,9081,ai
355,36837,500,308,384,308,101,384.0,10373,ai
356,36926,500,308,384,308,89,384.0,9537,ai
357,37042,500,308,384,308,116,384.0,9342,ai
358,37125,500,308,384,308,83,384.0,9206,ai
359,37240,500,308,384,308,115,384.0,9085,ai
360,37326,500,308,384,308,86,384.0,9238,ai
361,37458,500,308,384,308,132,384.0,10640,ai
362,37546,500,308,384,308,88,384.0,13149,ai
363,37670,500,308,384,308,124,384.0,10630,ai
364,37768,500,308,384,308,98,384.0,12953,ai
365,37870,500,308,384,308,102,384.0,10169,ai
366,37955,500,308,384,308,85,384.0,10051,ai
367,38079,500,308,384,308,124,384.0,10069,ai
368,38167,500,308,384,308,88,384.0,14480,ai
369,38291,500,308,384,308,124,384.0,9386,ai
370,38375,500,308,384,308,84,384.0,12887,ai
371,38499,500,308,384,308,124,384.0,10724,ai
372,38585,500,308,384,308,86,384.0,12867,ai
373,38710,500,308,384,308,125,384.0,9605,ai
374,38795,500,308,384,308,85,384.0,13784,ai
375,38917,500,308,384,308,122,384.0,10569,ai
376,39004,500,308,384,308,87,384.0,13808,ai
377,39119,500,308,384,308,115,384.0,9754,ai
378,39206,500,308,384,308,87,384.0,9464,ai
379,39330,500,308,384,308,124,384.0,10285,ai
380,39415,500,308,384,308,85,384.0,14525,ai
381,39538,500,308,384,308,123,384.0,9264,ai
382,39646,500,308,384,308,108,384.0,13538,ai
